id_marka,liczba-wystapien
---,801
102 IRONWORKS,2
3DOG,2
4MOTO,1
4WMOTO,6
5 STAR,17
A&D,39
A-LIMA-BIS,24
A-M-T,7
A.A.HAHN,7
A.B.C.,2
A.C.T.M.,10
A.KOBER,17
A.KRIEGLER ROTTENE,5
A.R.M.,8
ABAT,2
ABB,1
ABB-PRIVESY,1
ABBEY,1832
ABC,12
ABEL,9
ABERDEEN TRAILERS,2
ABI,2154
ABI ACE,252
ABL,312
ABL BOCKMANN - LASTRUP,8
ABL-BOCKMANN,15
ABL-BOECKMANN,34
ABL-LASTRUP,73
ABLAS,97
ABLINGER,18
AC MIDI,6
ACBUS,143
ACCESS,2564
ACCESS MOTOR,124
ACCIAIOTECNICA,9
ACCU&CO,4
ACE,491
ACE CARAVANS,3
ACEKO,23
ACERBI,81
ACERBI-VIBERTI,15
ACHLEITNER,539
ACI-CAMPING,10
ACI-RIESWEILER,12
ACKERMANN,1588
ACKERMANN-FRUEHAUF,1434
ACM,12
ACORD,357
ACORD/IVECO,1971
ACTIONBIKES,1
ACTM,64
ACURA,976
ACXA,3
ADAM,1
ADAMOTO,6
ADAMPOL,29
ADAMS,81
ADCLIFFE,9
ADIGE,15
ADIVA,37
ADLER,361
ADLY,253
ADLY MOTO,413
ADMAR,224
ADMIRAL,81
ADNO,419
ADOC-NARDEAU,2
ADOLF BÖHNLEIN,1
ADORNO,27
ADORNO+LEISENTRITT,24
ADR,4
ADRIA,8290
ADRIATICA,4
ADROL,4
ADVENTUREMOTORS,924
AEBI,45
AEBI RASANT,4
AEBI SCHMIDT DEUTSCHLAND GMBH,16
AEON,459
AEON MOTOR,489
AERDT,1
AERIAL,14
AERO,58
AEROLITE,1
AFA,4
AG-CHEM,1
AGA-CRYO,22
AGADOS,576
AGCO,563
AGCO WHITE,1
AGGR,1
AGM,290
AGM MOTORS,64
AGP,1
AGRAM,17
AGRATI GARELLI,854
AGRE-POL,41
AGREGATY PEX -POOL PLUS,136
AGRIA,3
AGRIA-WERKE,7
AGRICOM,39
AGRIFULL,14
AGRIMECCANICA,1
AGRITALIA,4
AGRITECHNIK-NEUSTADT,1
AGRO,3733
AGROLANG,12
AGROMASZYNA,22
AGROMEHANIKA D.D.,98
AGROMET,5604
AGROMET FMR,74
AGROMET PILMET,1230
AGROMET-WARFAMA,72
AGROSTROJ,30
AGROSTROJ PROSTEJOV,15
AGROZET,27
AGROZET-ZETOR,6
AGT,68
AHLSWEDE,4
AHLSWEDE-HELMSTEDT,1
AHNEMANN,5
AHP,11
AHP TRAILERS,3
AHWI,1
AIE,285
AIMA,5
AIR LIQUIDE,4
AIRSTREAM,28
AIRTRAILER,5
AIV-FRANKFURT,2
AIXAM,7278
AIYUMO,2
AJAX,4
AJK,27
AJP,98
AJS,150
AKLAND,12
AKRI,6
AKSOYLU,111
AKTIV STABIL,4
AKTIV-STABIL,7
AKU,5
AKUMOTO,1
AL-KO,192
AL-KO KOBER/WILK,8
AL-SPAW,114
ALASCO,21
ALBERT LOHRENGEL,7
ALBIN-MONARK,2
ALBRECHT,10
ALCE,1
ALCO,45
ALD,2
ALE,26
ALEXANDER TRAILERS,2
ALF,435
ALF ADORNO,152
ALF ADORNO+LEISENTRITT,48
ALFA,378
ALFA ROMEO,132981
ALFA-WAREN,5
ALFEN,23
ALFER,5
ALFINE,6
ALFRED AHNEMANN,3
ALFRED LEMKE,8
ALFRED SPINDELBERGER,1
ALGA,20
ALGEMA,67
ALGOE-ENNEPETAL,1
ALKA,1178
ALKOM,30
ALL AMERICAN CHOPPER,1
ALL CARS,1
ALLHUSEN,10
ALLIED VEHICLES LTD,21
ALLIS-CHALMERS,3
ALLRENT,1
ALOIS BIRRER,1
ALOIS KOBER,21
ALPAS HENDRION,1
ALPEN KREUZER,222
ALPENKREUZER,59
ALPHA,23
ALPHA JET,17
ALPHAMOTO,2
ALPINA,405
ALPINE-RENAULT,21
ALSPAW,647
ALT,1
ALTA,282
ALTECH,3
ALTINORDU,1
ALTKAM,2
ALU TRANS SYSTEM,101
ALU-BOX,5
ALUFORM,13
ALUMA,14
ALUMINIOS CASTELLANO MANCHEGOS,4
ALUMINUM SLIDE ON,4
ALUTECH,50
ALUVAN,4
AM,8
AM GENERAL,102
AMC,39
AMC RAMBLER,1
AMCA,9
AMCA NOVAL,90
AME,30
AMERA TRAIL,3
AMERATRAIL,1
AMERICAN ELECTRIC,1
AMERICAN HIGH PERFORMANCE,2
AMERICAN IRON HORSE,105
AMERICAN LAFRANCE,6
AMERICAN PERFORMANCE CYCLE,2
AMERITRAIL,1
AMICO,1
AMMANN,2
AMP,9
AMPHICAR,2
AMS,90
AMZ-GŁOWNO,3
AMZ-KUTNO,59
ANAIG,278
ANB,62
ANCAR,21
ANCHI,1
ANCHOR,1
ANDERSEN&SOHN,6
ANDORIA MOT,57
ANDOVER,44
ANDOVER TRAILERS,4
ANDRE WAGENBOUW-BALEN,2
ANDREOLI,11
ANDRES,29
ANDRIST,1
ANFRAJO,1
ANGERER,12
ANH-BAU-WITTENBERGE,161
ANHAENGER-CENT.SUED,4
ANKELIN,1
ANNABURGER,244
ANSCHAU,36
ANSSEMS,2348
ANTEO,1
ANTILOPE,57
ANTIP,5
ANTONELLI,5
ANTONIO CARRARO,74
AOBASHI,3
AOLING,1
AP-GYLLEVOGNE,4
APACHE,7
APARICIO,3
APC,2
APEL,11
APEL-SPANGENBERG,13
APEX,3
APEX MOTOR CORP.,2
APLAN,1180
APOLLO,728
APRILIA,44307
ARAGON,10
ARB,22
ARBUS,1
ARCA,12
ARCO TRAILER,27
ARCO-TRAILER,41
ARCTCO,4
ARCTIC CAT,905
ARDIE,33
ARDILA,5
ARDOR,48
AREA,9
AREAL,29
ARENDT,1
ARGE AUDI/PORSCHE,2
ARIEL,125
ARION,1
ARISING TRAILERS,1
ARKORAMA,42
ARKUS&ROMET GROUP,1351
ARMA TRAC,3
ARMEC,1
ARMSTRONG,8
ARMSTRONG SIDDELEY,2
ARMSTRONG&HOLMES,3
ARNOLD,11
ARNOLD MEIER,12
