id_pojazd,typ,marka,kategoria-pojazdu,typ_pojazdu,model,wariant,rodzaj_pojazdu,pochodzenie_pojazdu,rok_produkcji,data_pierwszej_rejestracji_w_kraju,pojemnosc_skokowa_silnika,masa_wlasna,rodzaj_paliwa,wojewodztwo_kod
6841264310348215,pojazdy,AUDI,11111111,---,A4,---,SAMOCHÓD OSOBOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2021-05-04,1781.0,1360,BENZYNA,02
7672937737425737,pojazdy,SKODA,13,NW,KAMIQ,ABCDLAAX0,SAMOCHÓD OSOBOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2021-05-04,999.0,1208,BENZYNA,02
8218665240106497,pojazdy,SKODA,13,NX,OCTAVIA,ACDPCAX0,SAMOCHÓD OSOBOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2021-05-04,1498.0,1324,BENZYNA,02
5348770653386594,pojazdy,RENAULT,11111111,---,MODUS,---,SAMOCHÓD OSOBOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2021-05-04,1149.0,1080,BENZYNA,02
8651726934412195,pojazdy,SKODA,13,NX,OCTAVIA,ACDPCAX0,SAMOCHÓD OSOBOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2021-05-04,1498.0,1324,BENZYNA,02
2321983683046632,pojazdy,SKODA,13,NX,OCTAVIA,ACDPCAX0,SAMOCHÓD OSOBOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2021-05-04,1498.0,1324,BENZYNA,02
234695661583911,pojazdy,MERCEDES-BENZ,11111111,---,B 200 CDI,---,SAMOCHÓD OSOBOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2021-05-04,1992.0,1435,OLEJ NAPĘDOWY,02
2464050114674871,pojazdy,KYMCO,2,U0,AGILITY 50,10,MOTOROWER,UŻYW. ZAKUPIONY W KRAJU,FABRYCZNY,2021-05-04,50.0,97,BENZYNA,02
599928205432689,pojazdy,SEAT,11111111,---,LEON,---,SAMOCHÓD OSOBOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2021-05-04,1595.0,1145,BENZYNA,02
8280400349937467,pojazdy,VOLKSWAGEN,11111111,---,GOLF,---,SAMOCHÓD OSOBOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2021-05-04,1598.0,1156,OLEJ NAPĘDOWY,02
7889634709886878,pojazdy,PEUGEOT,13,L,308,C,SAMOCHÓD OSOBOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2021-05-04,1560.0,1200,OLEJ NAPĘDOWY,02
2343121914236731,pojazdy,PORSCHE,14,9YA,CAYENNE,EA22,SAMOCHÓD OSOBOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2021-05-04,2995.0,2139,BENZYNA,02
