id_rodzaj_pojazdu,liczba-wystapien
AUTOBUS,217412
AUTOBUS DO 15 MIEJSC,1
AUTOBUS MAJACY 16-45 MIEJSC SIEDZACYCH,300
AUTOBUS MAJACY DO 15 MIEJSC SIEDZACYCH,42
AUTOBUS MAJACY POW. 45 MIEJSC SIEDZAC.,40
AUTOBUS POW.15 MIEJSC,52
AUTOBUS PRZEGUBOWY,15
AUTOBUSY,3049
BRAK DANYCH,6
CIAGN. ROLNICZY,1
CIAGN. ROLNICZY.,9499
CIAGN. SAMOCHOD.,1784
CIAGN.ROLNICZY,2156
CIAGN.SAMOCHOD,868
CIAGNIK INNY,4
CIAGNIK ROLNICZY,7839
CIAGNIK ROLNICZY - KOLOWY,1941
CIAGNIK SAMOCHODOWY,1257
CIAGNIK SAMOCHODOWY BALAST.DO PRZYCZ.O MAS.DO 40T,1
CIAGNIK SAMOCHODOWY SIODL. O NAC. NA SIODLO DO 8T,51
CIAGNIK SAMOCHODOWY SIODL. O NAC. NA SIODLO POW.8T,255
CIAGNIKI ROLNICZE,6
CIAGNIKI SAMOCHODOWE,11
CIEZAR-OSOBOWY,7217
CIEZAR-SPECJAL.,15464
CIEZAR-UNIWERSAL.,20088
CIEZAR-UNWERSAL.,9930
CIEZAROWY,4368
CIGNIK ROLNICZY - INNY,2
CIGNIK ROLNICZY KOPARKA,1
CIĄGN.ROLNICZY,422
CIĄGN.SAMOCHOD,79
CIĄGNIK ROLNICZY,1999792
CIĄGNIK ROLNICZY - INNY,7
CIĄGNIK ROLNICZY KOPARKA,1
CIĄGNIK ROLNICZY KOPARKO-SPYCHARKA,4
CIĄGNIK ROLNICZY-KOLEJKA TURYSTYCZNA,82
CIĄGNIK SAMOCHODOWY,650051
CIĄGNIKI ROLNICZE,17668
CIĄGNIKI SAMOCHODOWE,2666
CIĘŻAR-SPECJAL.,565
CIĘŻAR-UNIWERSAL.,1080
CIĘŻAR. OSOBOWY,1720
CIĘŻAR. SPECJALIZOWANY,793
CIĘŻAR. UNIWER.,8526
CIĘŻAROWY,5071
INNA DO PRZEWOZU INNYCH ŁADUNKÓW,2
KINO/WYST/BIBL. OBJAZDOWA,1
MIKROBUSY,1031
MOT.BEZ WOZKA BOCZNEGO,52
MOTOCYKL,1965919
MOTOCYKLE,6695
MOTOCYKLE I SKUTERY,23993
MOTOROWER,1519111
MOTOROWERY,1110
NACZ. AUTOBUS.,3
NACZ. SPECJALIZOWANA,17688
